amostra,Pop,dpi,In—culo,CT1_DENV,CT2_DENV,CT3_DENV,CT4_DENV,CT5_DENV,CT6_DENV,CT1_TM513,CT2_TM514,CT3_TM515,CT4_TM516,CT1_RPS17,CT2_RPS17,CT3_RPS17,CT4_RPS17
206,wMEL,3,10^5,Undetermined,Undetermined,,,,,20.17499923706050,,,,20.01600074768070,,,
207,wMEL,3,10^5,Undetermined,Undetermined,,,,,20.70299911499020,,,,19.63199996948240,,,
208,wMEL,3,10^5,Undetermined,Undetermined,,,,,20.51700019836430,,,,20.59399986267090,,,
209,wMEL,3,10^5,Undetermined,Undetermined,,,,,22.01799964904790,,,,22.97800064086910,,,
138,wMEL,7,10^5,Undetermined,Undetermined,,,,,19.53199958801270,,,,18.13400077819820,,,
139,wMEL,7,10^5,39.01300048828120,Undetermined,,,,,18.38800048828130,,,,18.33699989318850,,,
140,wMEL,7,10^5,Undetermined,Undetermined,,,,,19.59799957275390,,,,18.94799995422360,,,
141,wMEL,7,10^5,Undetermined,Undetermined,,,,,18.69700050354000,,,,17.83200073242190,,,
142,wMEL,7,10^5,Undetermined,Undetermined,,,,,18.77300071716310,,,,18.40200042724610,,,
143,wMEL,7,10^5,Undetermined,Undetermined,,,,,20.07299995422360,,,,19.26899909973140,,,
144,wMEL,7,10^5,Undetermined,Undetermined,,,,,19.09399986267090,,,,18.04899978637700,,,
145,wMEL,7,10^5,Undetermined,,,,,,20.25699996948240,,,,18.99200057983400,,,
146,wMEL,7,10^5,Undetermined,Undetermined,,,,,24.12800025939940,,,,21.73399925231930,,,
147,wMEL,7,10^5,Undetermined,Undetermined,,,,,25.15299987792970,,,,21.33300018310550,,,
46,wMEL,14,10^5,Undetermined,Undetermined,,,,,17.34900093078610,17.53599929809570,,,18.10099983215330,18.00200080871580,,
47,wMEL,14,10^5,Undetermined,Undetermined,,,,,19.43600082397460,17.77700042724610,,,18.74699974060060,18.68899917602540,,
48,wMEL,14,10^5,Undetermined,Undetermined,,,,,18.80599975585940,,,,18.75099945068360,,,
49,wMEL,14,10^5,Undetermined,39.13600158691410,,,,,18.48999977111820,,,,18.77300071716310,,,
210,wMEL,3,10^6,Undetermined,Undetermined,,,,,19.96199989318850,,,,19.47699928283690,,,
211,wMEL,3,10^6,Undetermined,38.88000106811520,,,,,19.54999923706050,,,,20.53899955749510,,,
212,wMEL,3,10^6,Undetermined,Undetermined,,,,,20.13999938964840,,,,20.03400039672850,,,
213,wMEL,3,10^6,Undetermined,Undetermined,,,,,20.03899955749510,,,,19.98200035095210,,,
214,wMEL,3,10^6,Undetermined,Undetermined,,,,,19.79500007629390,,,,19.60600090026860,,,
215,wMEL,3,10^6,Undetermined,Undetermined,,,,,19.47400093078610,,,,19.77599906921390,,,
216,wMEL,3,10^6,38.04800033569340,39.34999847412110,,,,,20.18499946594240,,,,20.79999923706050,,,
217,wMEL,3,10^6,Undetermined,Undetermined,,,,,19.25499916076660,,,,20.18600082397460,,,
218,wMEL,3,10^6,Undetermined,37.95199966430660,,,,,20.30699920654300,,,,19.97299957275390,,,
149,wMEL,7,10^6,Undetermined,Undetermined,,,,,18.26899909973140,,,,17.21999931335450,,,
150,wMEL,7,10^6,Undetermined,Undetermined,,,,,17.63999938964840,,,,20.54000091552730,,,
151,wMEL,7,10^6,Undetermined,Undetermined,,,,,18.58799934387210,,,,17.69099998474120,,,
152,wMEL,7,10^6,39.49000167846680,Undetermined,,,,,18.12400054931640,,,,17.76399993896480,,,
153,wMEL,7,10^6,Undetermined,Undetermined,,,,,17.80599975585940,,,,17.18400001525880,,,
154,wMEL,7,10^6,Undetermined,Undetermined,,,,,19.43600082397460,,,,17.26399993896480,,,
155,wMEL,7,10^6,37.70600128173830,Undetermined,,,,,17.55400085449220,,,,17.18300056457520,,,
156,wMEL,7,10^6,Undetermined,Undetermined,,,,,17.89299964904790,,,,17.54599952697750,,,
157,wMEL,7,10^6,Undetermined,Undetermined,,,,,17.99300003051760,,,,17.53700065612790,,,
158,wMEL,7,10^6,Undetermined,Undetermined,,,,,18.29999923706050,,,,17.83799934387210,,,
50,wMEL,14,10^6,Undetermined,Undetermined,,,,,18.00799942016600,18.10000038146970,,,18.76700019836430,18.57200050354000,,
51,wMEL,14,10^6,Undetermined,Undetermined,,,,,18.12199974060060,18.06999969482420,,,18.78199958801270,18.90800094604490,,
52,wMEL,14,10^6,Undetermined,Undetermined,,,,,21.81299972534180,,,,18.96299934387210,,,
53,wMEL,14,10^6,Undetermined,Undetermined,,,,,17.95299911499020,,,,18.84700012207030,,,
54,wMEL,14,10^6,Undetermined,Undetermined,,,,,18.71500015258790,,,,19.08499908447270,,,
55,wMEL,14,10^6,Undetermined,38.72900009155270,,,,,18.89699935913090,,,,18.67600059509280,,,
56,wMEL,14,10^6,Undetermined,Undetermined,,,,,18.52199935913090,,,,19.11100006103520,,,
57,wMEL,14,10^6,38.58399963378910,Undetermined,,,,,18.56900024414060,,,,18.93400001525880,,,
219,wMEL,3,10^7,Undetermined,Undetermined,,,,,20.18499946594240,,,,20.17600059509280,,,
220,wMEL,3,10^7,39.46900177001950,37.97299957275390,,,,,20.41399955749510,,,,20.16300010681150,,,
221,wMEL,3,10^7,38.11399841308590,37.27799987792970,,,,,19.63999938964840,,,,19.44400024414060,,,
222,wMEL,3,10^7,Undetermined,Undetermined,,,,,19.54800033569340,,,,18.24099922180180,,,
223,wMEL,3,10^7,Undetermined,Undetermined,,,,,19.23999977111820,,,,20.24200057983400,,,
224,wMEL,3,10^7,Undetermined,Undetermined,,,,,21.76300048828120,,,,21.64299964904790,,,
225,wMEL,3,10^7,Undetermined,Undetermined,,,,,20.11599922180180,,,,19.70400047302250,,,
226,wMEL,3,10^7,38.22900009155270,39.71400070190430,,,,,20.10000038146970,,,,24.17099952697750,,,
227,wMEL,3,10^7,Undetermined,Undetermined,,,,,20.12500000000000,,,,22.43899917602540,,,
159,wMEL,7,10^7,Undetermined,Undetermined,,,,,17.78100013732910,,,,16.62500000000000,,,
160,wMEL,7,10^7,Undetermined,Undetermined,,,,,19.44899940490720,,,,17.67200088500980,,,
161,wMEL,7,10^7,39.27799987792970,Undetermined,,,,,17.87999916076660,,,,15.56000041961670,,,
162,wMEL,7,10^7,Undetermined,39.09899902343750,,,,,18.77499961853030,,,,16.65699958801270,,,
163,wMEL,7,10^7,Undetermined,Undetermined,,,,,18.62500000000000,,,,17.26700019836430,,,
164,wMEL,7,10^7,39.34500122070310,Undetermined,,,,,17.91200065612790,,,,16.24699974060060,,,
165,wMEL,7,10^7,Undetermined,Undetermined,,,,,18.89200019836430,,,,17.75699996948240,,,
166,wMEL,7,10^7,37.93000030517580,Undetermined,,,,,18.26899909973140,,,,16.43799972534180,,,
167,wMEL,7,10^7,Undetermined,Undetermined,,,,,20.91300010681150,,,,25.37100028991700,,,
168,wMEL,7,10^7,36.49900054931640,34.99100112915040,,,,,18.06599998474120,,,,16.79400062561040,,,
58,wMEL,14,10^7,21.07399940490720,21.04199981689450,,,,,18.11800003051760,17.94099998474120,,,19.18000030517580,19.09199905395510,,
59,wMEL,14,10^7,37.15200042724610,37.82500076293950,,,,,18.13699913024900,17.80100059509280,,,18.37400054931640,18.36499977111820,,
60,wMEL,14,10^7,Undetermined,38.97000122070310,,,,,17.74500083923340,,,,18.03599929809570,,,
61,wMEL,14,10^7,39.06200027465820,36.85300064086910,,,,,18.44599914550780,,,,19.24799919128420,,,
62,wMEL,14,10^7,Undetermined,38.54800033569340,,,,,18.16399955749510,,,,18.77799987792970,,,
63,wMEL,14,10^7,Undetermined,Undetermined,,,,,18.70000076293950,,,,18.81200027465820,,,
64,wMEL,14,10^7,22.20499992370610,22.39999961853030,,,,,19.92200088500980,,,,20.07600021362300,,,
65,wMEL,14,10^7,Undetermined,Undetermined,,,,,18.54599952697750,,,,18.75200080871580,,,
66,wMEL,14,10^7,39.54600143432620,Undetermined,,,,,18.93300056457520,,,,19.73200035095210,,,
67,wMEL,14,10^7,39.70100021362300,39.54899978637700,,,,,17.49900054931640,,,,18.10600090026860,,,
228,wMEL,3,10^8,35.81399917602540,35.33599853515620,35.33700180053710,34.50799942016600,,,Undetermined,,,,19.38599967956540,,,
229,wMEL,3,10^8,38.40200042724610,36.35499954223630,,,,,18.66799926757810,,,,18.59000015258790,,,
230,wMEL,3,10^8,34.81499862670900,34.57300186157230,,,,,19.82200050354000,,,,20.28000068664550,,,
231,wMEL,3,10^8,36.57400131225590,35.63299942016600,,,,,20.14599990844730,,,,19.69599914550780,,,
232,wMEL,3,10^8,36.82799911499020,37.93799972534180,,,,,19.94199943542480,,,,19.70100021362300,,,
233,wMEL,3,10^8,37.49399948120120,37.76200103759770,,,,,19.04100036621090,,,,19.76000022888180,,,
234,wMEL,3,10^8,34.29899978637700,34.21500015258790,,,,,19.94599914550780,,,,20.60099983215330,,,
235,wMEL,3,10^8,36.39199829101560,37.52099990844730,,,,,19.67700004577640,,,,19.77599906921390,,,
236,wMEL,3,10^8,33.95899963378910,33.79899978637700,,,,,19.29500007629390,,,,19.93099975585940,,,
237,wMEL,3,10^8,35.70199966430660,36.12900161743160,,,,,19.38800048828120,,,,20.16500091552730,,,
238,wMEL,3,10^8,38.81999969482420,36.99300003051760,,,,,19.79199981689450,,,,19.99799919128420,,,
239,wMEL,3,10^8,36.86399841308590,36.33900070190430,,,,,19.66699981689450,,,,19.68499946594240,,,
240,wMEL,3,10^8,36.68299865722660,36.70199966430660,,,,,19.22200012207030,,,,19.60899925231930,,,
169,wMEL,7,10^8,Undetermined,Undetermined,,,,,19.26499938964840,,,,17.03400039672850,,,
170,wMEL,7,10^8,Undetermined,Undetermined,,,,,18.59900093078610,,,,16.58499908447270,,,
171,wMEL,7,10^8,26.06800079345700,26.75200080871580,,,,,18.60600090026860,,,,17.80699920654300,,,
172,wMEL,7,10^8,37.55199813842770,36.95600128173830,,,,,19.81200027465820,,,,17.85600090026860,,,
173,wMEL,7,10^8,36.57799911499020,36.02999877929690,,,,,19.02499961853030,,,,17.19700050354000,,,
174,wMEL,7,10^8,23.69400024414060,23.85000038146970,,,,,17.73200035095210,,,,16.40999984741210,,,
175,wMEL,7,10^8,24.96699905395510,24.94300079345700,,,,,17.68000030517580,,,,16.90399932861330,,,
176,wMEL,7,10^8,35.96500015258790,Undetermined,,,,,19.41900062561040,,,,17.46299934387210,,,
177,wMEL,7,10^8,30.99099922180180,31.05900001525880,,,,,18.60000038146970,,,,24.71599960327150,,,
178,wMEL,7,10^8,37.07500076293950,36.63100051879880,,,,,23.47999954223630,,,,24.54400062561040,,,
